age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
39,State-gov,77516,Bsc,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,<=50
50,Self-emp-not-inc,83311,Bsc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,<=50
38,Private,215646,H.S,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50
53,Private,234721,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50
28,Private,338409,Bsc,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,<=50
37,Private,284582,Msc,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50
49,Private,160187,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,<=50
52,Self-emp-not-inc,209642,H.S,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50
31,Private,45781,Msc,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States,>50
42,Private,159449,Bsc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States,>50
37,Private,280464,s-c,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,United-States,>50
30,State-gov,141297,Bsc,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50
23,Private,122272,Bsc,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50
32,Private,205019,Ass-ac,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States,<=50
40,Private,121772,Ass-vc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,?,>50
34,Private,245487,07-Aug,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50
25,Self-emp-not-inc,176756,H.S,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,<=50
32,Private,186824,H.S,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50
38,Private,28887,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50
